Auto0000,4697841.379,7508551.385,600.311,ParcReNe 10004
Auto0001,4697843.484,7508558.244,600.847,ParcelaB 9820
Auto0002,4697851.316,7508582.331,600.122,ParcelaB 9816
Auto0003,4697865.212,7508631.084,599.877,ParcelaB 9812
001,4697867.264,7508639.612,599.857,rrethoj
002,4697882.967,7508636.107,599.777,ParcReNe 10023
003,4697872.242,7508662.187,599.849,Ndarjet 10089
004,4697855.620,7508666.075,600.014,Ndarjet 10114
005,4697848.253,7508634.929,600.542,ParcReNe 9988
006,4697892.457,7508674.974,599.232,ParcReNe 10024
007,4697903.241,7508721.728,599.012,ParcReNe 10028
008,4697919.779,7508801.647,598.607,ParcReNe 10032
009,4697885.477,7508806.917,598.894,ParcReNe 10036
010,4697859.290,7508681.603,599.949,ParcReNe 10037
011,4697838.892,7508597.351,600.214,ParcReNe 9992
012,4697824.414,7508560.015,600.462,ParcReNe 9996
013,4697826.454,7508558.844,600.447,ParcReNe 10000
014,4697856.795,7508544.247,600.221,ParcReNe 10008
220086,4694374.647,7512362.321,620.876,
015,4699009.539,7513790.296,610.408,Ndarjetv 9611
016,4699005.247,7513789.249,610.467,ndarje
Ndarjetv 9636,4699021.840,7513796.451,0.000,
v4,4699008.495,7513790.658,0.170,
017,4699008.510,7513790.687,610.423,v4
018,4699021.823,7513796.442,610.381,Ndarjetv 9636
019,4699021.063,7513796.952,610.368,ndarje
v5,4699008.294,7513790.732,0.400,ndarje
020,4699020.864,7513797.318,610.402,ndarje
021,4699015.372,7513810.173,610.584,ParcelaB 9697
022,4699015.854,7513809.663,611.230,shupa
023,4699017.590,7513805.882,611.685,shupa
024,4699018.732,7513803.314,611.847,shupa
